Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.02.2026 09:00,Expense,Bankkarte,1200.00,EUR,Miete,1200.00,EUR,Wohnungsmiete
01.02.2026 09:03,Expense,Deutsche Bank,23.30,EUR,Café,23.30,EUR,Kaffee
01.02.2026 10:15,Expense,Deutsche Bank,5.30,EUR,Transport,5.30,EUR,
02.02.2026 13:41,Expense,Bargeld,59.60,EUR,Lebensmittel,59.60,EUR,Lidl
02.02.2026 17:08,Expense,Bargeld,102.30,EUR,Lebensmittel,102.30,EUR,Aldi
02.02.2026 18:00,Expense,Bankkarte,245.20,EUR,Kleidung,245.20,EUR,
02.02.2026 18:36,Expense,Deutsche Bank,62.40,EUR,Lebensmittel,62.40,EUR,Rewe
02.02.2026 20:54,Expense,Deutsche Bank,19.10,EUR,Café,19.10,EUR,Kaffee
03.02.2026 09:30,Expense,Bankkarte,229.60,EUR,Nebenkosten,229.60,EUR,
04.02.2026 09:00,Expense,Deutsche Bank,30.00,EUR,Internet,30.00,EUR,
04.02.2026 09:05,Expense,Deutsche Bank,25.00,EUR,Handy,25.00,EUR,
04.02.2026 11:19,Expense,Deutsche Bank,232.60,EUR,Tanken,232.60,EUR,
04.02.2026 13:19,Expense,Bargeld,4.60,EUR,Transport,4.60,EUR,
05.02.2026 10:34,Expense,Bargeld,13.80,EUR,Transport,13.80,EUR,
05.02.2026 10:39,Income,Gehalt,4406.30,EUR,Deutsche Bank,4406.30,EUR,Monatsgehalt
05.02.2026 21:00,Expense,Deutsche Bank,52.40,EUR,Unterhaltung,52.40,EUR,
06.02.2026 08:00,Expense,Deutsche Bank,60.00,EUR,Abos,60.00,EUR,Netflix + Spotify
06.02.2026 08:18,Expense,Bargeld,113.80,EUR,Lebensmittel,113.80,EUR,Lidl
06.02.2026 17:13,Expense,Deutsche Bank,85.50,EUR,Lebensmittel,85.50,EUR,Edeka
07.02.2026 11:00,Transfer,Deutsche Bank,981.80,EUR,Sparkonto,981.80,EUR,Monatliche Ersparnis
07.02.2026 17:00,Expense,Deutsche Bank,346.80,EUR,Gesundheit,346.80,EUR,
09.02.2026 09:42,Expense,Deutsche Bank,10.50,EUR,Café,10.50,EUR,Kaffee
09.02.2026 16:08,Expense,Deutsche Bank,94.40,EUR,Lebensmittel,94.40,EUR,Aldi
09.02.2026 18:00,Expense,Deutsche Bank,96.70,EUR,Unterhaltung,96.70,EUR,
09.02.2026 21:34,Expense,Deutsche Bank,162.90,EUR,Restaurants,162.90,EUR,
12.02.2026 09:05,Expense,Bargeld,113.40,EUR,Lebensmittel,113.40,EUR,Aldi
12.02.2026 11:30,Expense,Deutsche Bank,113.20,EUR,Lebensmittel,113.20,EUR,Aldi
12.02.2026 12:00,Income,Dividenden,405.00,EUR,Sparkonto,405.00,EUR,Quartalsdividende
12.02.2026 17:02,Expense,Deutsche Bank,17.20,EUR,Café,17.20,EUR,Kaffee
13.02.2026 09:58,Expense,Deutsche Bank,163.30,EUR,Tanken,163.30,EUR,
14.02.2026 09:47,Expense,Deutsche Bank,18.60,EUR,Café,18.60,EUR,Kaffee
14.02.2026 17:00,Transfer,Deutsche Bank,288.90,EUR,Bargeld,288.90,EUR,Bargeldabhebung
14.02.2026 19:31,Expense,Deutsche Bank,116.00,EUR,Restaurants,116.00,EUR,
16.02.2026 15:00,Expense,Deutsche Bank,27.20,EUR,Café,27.20,EUR,Kaffee
17.02.2026 18:44,Expense,Deutsche Bank,53.40,EUR,Lebensmittel,53.40,EUR,Lidl
18.02.2026 15:30,Income,Freiberuf-Einkommen,951.50,EUR,Deutsche Bank,951.50,EUR,Nebenprojekt
19.02.2026 11:00,Expense,Deutsche Bank,32.80,EUR,Apotheke,32.80,EUR,
22.02.2026 13:00,Expense,Deutsche Bank,101.70,EUR,Unterhaltung,101.70,EUR,
23.02.2026 16:42,Expense,Deutsche Bank,9.00,EUR,Transport,9.00,EUR,
26.02.2026 12:00,Expense,Bargeld,64.40,EUR,Apotheke,64.40,EUR,
27.02.2026 20:19,Expense,Bargeld,4.70,EUR,Transport,4.70,EUR,
28.02.2026 16:01,Expense,Deutsche Bank,13.20,EUR,Transport,13.20,EUR,
01.03.2026 09:00,Expense,Bankkarte,1200.00,EUR,Miete,1200.00,EUR,Wohnungsmiete
01.03.2026 19:24,Expense,Bargeld,10.20,EUR,Transport,10.20,EUR,
02.03.2026 16:00,Expense,Deutsche Bank,80.40,EUR,Unterhaltung,80.40,EUR,
03.03.2026 08:10,Expense,Bargeld,104.80,EUR,Lebensmittel,104.80,EUR,Edeka
03.03.2026 09:30,Expense,Bankkarte,239.10,EUR,Nebenkosten,239.10,EUR,
03.03.2026 20:10,Expense,Bargeld,5.10,EUR,Transport,5.10,EUR,
04.03.2026 09:00,Expense,Deutsche Bank,30.00,EUR,Internet,30.00,EUR,
04.03.2026 09:05,Expense,Deutsche Bank,25.00,EUR,Handy,25.00,EUR,
05.03.2026 10:27,Income,Gehalt,4567.20,EUR,Deutsche Bank,4567.20,EUR,Monatsgehalt
05.03.2026 12:31,Expense,Bargeld,124.80,EUR,Lebensmittel,124.80,EUR,Rewe
06.03.2026 08:00,Expense,Deutsche Bank,60.00,EUR,Abos,60.00,EUR,Netflix + Spotify
07.03.2026 11:00,Transfer,Deutsche Bank,976.50,EUR,Sparkonto,976.50,EUR,Monatliche Ersparnis
09.03.2026 11:17,Expense,Deutsche Bank,14.90,EUR,Café,14.90,EUR,Kaffee
09.03.2026 15:00,Transfer,Deutsche Bank,281.20,EUR,Bargeld,281.20,EUR,Bargeldabhebung
