Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.01.2026 09:00,Expense,Kartu bank,4500000.00,IDR,Sewa,4500000.00,IDR,Sewa apartemen
01.01.2026 09:03,Expense,Bank Mandiri,87500.00,IDR,Kafe,87500.00,IDR,Kopi
01.01.2026 10:15,Expense,Bank Mandiri,20000.00,IDR,Transportasi,20000.00,IDR,
02.01.2026 13:41,Expense,Tunai,223500.00,IDR,Belanja harian,223500.00,IDR,Superindo
02.01.2026 17:08,Expense,Tunai,383500.00,IDR,Belanja harian,383500.00,IDR,Alfamart
02.01.2026 18:00,Expense,Kartu bank,919500.00,IDR,Pakaian,919500.00,IDR,
02.01.2026 18:36,Expense,Bank Mandiri,234000.00,IDR,Belanja harian,234000.00,IDR,Indomaret
02.01.2026 20:54,Expense,Bank Mandiri,71500.00,IDR,Kafe,71500.00,IDR,Kopi
03.01.2026 09:30,Expense,Kartu bank,861000.00,IDR,Tagihan,861000.00,IDR,
04.01.2026 09:00,Expense,Bank Mandiri,112500.00,IDR,Internet,112500.00,IDR,
04.01.2026 09:05,Expense,Bank Mandiri,94000.00,IDR,Ponsel,94000.00,IDR,
04.01.2026 11:19,Expense,Bank Mandiri,872500.00,IDR,Bensin,872500.00,IDR,
04.01.2026 13:19,Expense,Tunai,17500.00,IDR,Transportasi,17500.00,IDR,
05.01.2026 10:34,Expense,Tunai,52000.00,IDR,Transportasi,52000.00,IDR,
05.01.2026 10:39,Income,Gaji,16523500.00,IDR,Bank Mandiri,16523500.00,IDR,Gaji bulanan
05.01.2026 21:00,Expense,Bank Mandiri,196500.00,IDR,Hiburan,196500.00,IDR,
06.01.2026 08:00,Expense,Bank Mandiri,225000.00,IDR,Langganan,225000.00,IDR,Netflix + Spotify
06.01.2026 08:18,Expense,Tunai,427000.00,IDR,Belanja harian,427000.00,IDR,Superindo
06.01.2026 17:13,Expense,Bank Mandiri,320500.00,IDR,Belanja harian,320500.00,IDR,Hypermart
07.01.2026 11:00,Transfer,Bank Mandiri,3682000.00,IDR,Rekening tabungan,3682000.00,IDR,Tabungan bulanan
07.01.2026 17:00,Expense,Bank Mandiri,1300500.00,IDR,Kesehatan,1300500.00,IDR,
09.01.2026 09:42,Expense,Bank Mandiri,39500.00,IDR,Kafe,39500.00,IDR,Kopi
09.01.2026 16:08,Expense,Bank Mandiri,354000.00,IDR,Belanja harian,354000.00,IDR,Alfamart
09.01.2026 18:00,Expense,Bank Mandiri,362500.00,IDR,Hiburan,362500.00,IDR,
09.01.2026 21:34,Expense,Bank Mandiri,611000.00,IDR,Restoran,611000.00,IDR,
12.01.2026 09:05,Expense,Tunai,425500.00,IDR,Belanja harian,425500.00,IDR,Alfamart
