Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.02.2026 09:00,Expense,Bank Card,1800.00,USD,Rent,1800.00,USD,Apartment rent
01.02.2026 09:03,Expense,Chase Bank,34.95,USD,Cafe,34.95,USD,Coffee
01.02.2026 10:15,Expense,Chase Bank,7.95,USD,Transport,7.95,USD,
02.02.2026 13:41,Expense,Cash,89.40,USD,Groceries,89.40,USD,Costco
02.02.2026 17:08,Expense,Cash,153.45,USD,Groceries,153.45,USD,Target
02.02.2026 18:00,Expense,Bank Card,367.80,USD,Clothing,367.80,USD,
02.02.2026 18:36,Expense,Chase Bank,93.60,USD,Groceries,93.60,USD,Walmart
02.02.2026 20:54,Expense,Chase Bank,28.65,USD,Cafe,28.65,USD,Coffee
03.02.2026 09:30,Expense,Bank Card,344.40,USD,Utilities,344.40,USD,
04.02.2026 09:00,Expense,Chase Bank,45.00,USD,Internet,45.00,USD,
04.02.2026 09:05,Expense,Chase Bank,37.50,USD,Mobile,37.50,USD,
04.02.2026 11:19,Expense,Chase Bank,348.90,USD,Fuel,348.90,USD,
04.02.2026 13:19,Expense,Cash,6.90,USD,Transport,6.90,USD,
05.02.2026 10:34,Expense,Cash,20.70,USD,Transport,20.70,USD,
05.02.2026 10:39,Income,Salary,6609.45,USD,Chase Bank,6609.45,USD,Monthly salary
05.02.2026 21:00,Expense,Chase Bank,78.60,USD,Entertainment,78.60,USD,
06.02.2026 08:00,Expense,Chase Bank,90.00,USD,Subscriptions,90.00,USD,Netflix + Spotify
06.02.2026 08:18,Expense,Cash,170.70,USD,Groceries,170.70,USD,Costco
06.02.2026 17:13,Expense,Chase Bank,128.25,USD,Groceries,128.25,USD,Trader Joe's
07.02.2026 11:00,Transfer,Chase Bank,1472.70,USD,Savings Account,1472.70,USD,Monthly savings
07.02.2026 17:00,Expense,Chase Bank,520.20,USD,Health,520.20,USD,
09.02.2026 09:42,Expense,Chase Bank,15.75,USD,Cafe,15.75,USD,Coffee
09.02.2026 16:08,Expense,Chase Bank,141.60,USD,Groceries,141.60,USD,Target
09.02.2026 18:00,Expense,Chase Bank,145.05,USD,Entertainment,145.05,USD,
09.02.2026 21:34,Expense,Chase Bank,244.35,USD,Restaurants,244.35,USD,
12.02.2026 09:05,Expense,Cash,170.10,USD,Groceries,170.10,USD,Target
12.02.2026 11:30,Expense,Chase Bank,169.80,USD,Groceries,169.80,USD,Target
12.02.2026 12:00,Income,Dividends,607.50,USD,Savings Account,607.50,USD,Quarterly dividends
12.02.2026 17:02,Expense,Chase Bank,25.80,USD,Cafe,25.80,USD,Coffee
13.02.2026 09:58,Expense,Chase Bank,244.95,USD,Fuel,244.95,USD,
14.02.2026 09:47,Expense,Chase Bank,27.90,USD,Cafe,27.90,USD,Coffee
14.02.2026 17:00,Transfer,Chase Bank,433.35,USD,Cash,433.35,USD,ATM withdrawal
14.02.2026 19:31,Expense,Chase Bank,174.00,USD,Restaurants,174.00,USD,
16.02.2026 15:00,Expense,Chase Bank,40.80,USD,Cafe,40.80,USD,Coffee
17.02.2026 18:44,Expense,Chase Bank,80.10,USD,Groceries,80.10,USD,Costco
18.02.2026 15:30,Income,Freelance,1427.25,USD,Chase Bank,1427.25,USD,Side project
19.02.2026 11:00,Expense,Chase Bank,49.20,USD,Pharmacy,49.20,USD,
22.02.2026 13:00,Expense,Chase Bank,152.55,USD,Entertainment,152.55,USD,
23.02.2026 16:42,Expense,Chase Bank,13.50,USD,Transport,13.50,USD,
26.02.2026 12:00,Expense,Cash,96.60,USD,Pharmacy,96.60,USD,
27.02.2026 20:19,Expense,Cash,7.05,USD,Transport,7.05,USD,
28.02.2026 16:01,Expense,Chase Bank,19.80,USD,Transport,19.80,USD,
01.03.2026 09:00,Expense,Bank Card,1800.00,USD,Rent,1800.00,USD,Apartment rent
01.03.2026 19:24,Expense,Cash,15.30,USD,Transport,15.30,USD,
02.03.2026 16:00,Expense,Chase Bank,120.60,USD,Entertainment,120.60,USD,
03.03.2026 08:10,Expense,Cash,157.20,USD,Groceries,157.20,USD,Trader Joe's
03.03.2026 09:30,Expense,Bank Card,358.65,USD,Utilities,358.65,USD,
03.03.2026 20:10,Expense,Cash,7.65,USD,Transport,7.65,USD,
04.03.2026 09:00,Expense,Chase Bank,45.00,USD,Internet,45.00,USD,
04.03.2026 09:05,Expense,Chase Bank,37.50,USD,Mobile,37.50,USD,
05.03.2026 10:27,Income,Salary,6850.80,USD,Chase Bank,6850.80,USD,Monthly salary
05.03.2026 12:31,Expense,Cash,187.20,USD,Groceries,187.20,USD,Walmart
06.03.2026 08:00,Expense,Chase Bank,90.00,USD,Subscriptions,90.00,USD,Netflix + Spotify
07.03.2026 11:00,Transfer,Chase Bank,1464.75,USD,Savings Account,1464.75,USD,Monthly savings
09.03.2026 11:17,Expense,Chase Bank,22.35,USD,Cafe,22.35,USD,Coffee
09.03.2026 15:00,Transfer,Chase Bank,421.80,USD,Cash,421.80,USD,ATM withdrawal
