Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.01.2026 09:00,Expense,Tarjeta bancaria,1200.00,EUR,Alquiler,1200.00,EUR,Alquiler piso
01.01.2026 09:03,Expense,Banco Santander,23.30,EUR,Cafetería,23.30,EUR,Café
01.01.2026 10:15,Expense,Banco Santander,5.30,EUR,Transporte,5.30,EUR,
02.01.2026 13:41,Expense,Efectivo,59.60,EUR,Supermercado,59.60,EUR,Lidl
02.01.2026 17:08,Expense,Efectivo,102.30,EUR,Supermercado,102.30,EUR,Carrefour
02.01.2026 18:00,Expense,Tarjeta bancaria,245.20,EUR,Ropa,245.20,EUR,
02.01.2026 18:36,Expense,Banco Santander,62.40,EUR,Supermercado,62.40,EUR,Mercadona
02.01.2026 20:54,Expense,Banco Santander,19.10,EUR,Cafetería,19.10,EUR,Café
03.01.2026 09:30,Expense,Tarjeta bancaria,229.60,EUR,Facturas,229.60,EUR,
04.01.2026 09:00,Expense,Banco Santander,30.00,EUR,Internet,30.00,EUR,
04.01.2026 09:05,Expense,Banco Santander,25.00,EUR,Móvil,25.00,EUR,
04.01.2026 11:19,Expense,Banco Santander,232.60,EUR,Gasolina,232.60,EUR,
04.01.2026 13:19,Expense,Efectivo,4.60,EUR,Transporte,4.60,EUR,
05.01.2026 10:34,Expense,Efectivo,13.80,EUR,Transporte,13.80,EUR,
05.01.2026 10:39,Income,Salario,4406.30,EUR,Banco Santander,4406.30,EUR,Salario mensual
05.01.2026 21:00,Expense,Banco Santander,52.40,EUR,Ocio,52.40,EUR,
06.01.2026 08:00,Expense,Banco Santander,60.00,EUR,Suscripciones,60.00,EUR,Netflix + Spotify
06.01.2026 08:18,Expense,Efectivo,113.80,EUR,Supermercado,113.80,EUR,Lidl
06.01.2026 17:13,Expense,Banco Santander,85.50,EUR,Supermercado,85.50,EUR,Dia
07.01.2026 11:00,Transfer,Banco Santander,981.80,EUR,Cuenta de ahorro,981.80,EUR,Ahorro mensual
07.01.2026 17:00,Expense,Banco Santander,346.80,EUR,Salud,346.80,EUR,
09.01.2026 09:42,Expense,Banco Santander,10.50,EUR,Cafetería,10.50,EUR,Café
09.01.2026 16:08,Expense,Banco Santander,94.40,EUR,Supermercado,94.40,EUR,Carrefour
09.01.2026 18:00,Expense,Banco Santander,96.70,EUR,Ocio,96.70,EUR,
09.01.2026 21:34,Expense,Banco Santander,162.90,EUR,Restaurantes,162.90,EUR,
12.01.2026 09:05,Expense,Efectivo,113.40,EUR,Supermercado,113.40,EUR,Carrefour
12.01.2026 11:30,Expense,Banco Santander,113.20,EUR,Supermercado,113.20,EUR,Carrefour
12.01.2026 12:00,Income,Dividendos,405.00,EUR,Cuenta de ahorro,405.00,EUR,Dividendos trimestrales
12.01.2026 17:02,Expense,Banco Santander,17.20,EUR,Cafetería,17.20,EUR,Café
13.01.2026 09:58,Expense,Banco Santander,163.30,EUR,Gasolina,163.30,EUR,
14.01.2026 09:47,Expense,Banco Santander,18.60,EUR,Cafetería,18.60,EUR,Café
14.01.2026 17:00,Transfer,Banco Santander,288.90,EUR,Efectivo,288.90,EUR,Retiro cajero
14.01.2026 19:31,Expense,Banco Santander,116.00,EUR,Restaurantes,116.00,EUR,
16.01.2026 15:00,Expense,Banco Santander,27.20,EUR,Cafetería,27.20,EUR,Café
17.01.2026 18:44,Expense,Banco Santander,53.40,EUR,Supermercado,53.40,EUR,Lidl
18.01.2026 15:30,Income,Ingreso freelance,951.50,EUR,Banco Santander,951.50,EUR,Proyecto propio
19.01.2026 11:00,Expense,Banco Santander,32.80,EUR,Farmacia,32.80,EUR,
22.01.2026 13:00,Expense,Banco Santander,101.70,EUR,Ocio,101.70,EUR,
23.01.2026 16:42,Expense,Banco Santander,9.00,EUR,Transporte,9.00,EUR,
26.01.2026 12:00,Expense,Efectivo,64.40,EUR,Farmacia,64.40,EUR,
27.01.2026 20:19,Expense,Efectivo,4.70,EUR,Transporte,4.70,EUR,
30.01.2026 16:01,Expense,Banco Santander,13.20,EUR,Transporte,13.20,EUR,
01.02.2026 09:00,Expense,Tarjeta bancaria,1200.00,EUR,Alquiler,1200.00,EUR,Alquiler piso
01.02.2026 19:24,Expense,Efectivo,10.20,EUR,Transporte,10.20,EUR,
02.02.2026 16:00,Expense,Banco Santander,80.40,EUR,Ocio,80.40,EUR,
03.02.2026 08:10,Expense,Efectivo,104.80,EUR,Supermercado,104.80,EUR,Dia
03.02.2026 09:30,Expense,Tarjeta bancaria,239.10,EUR,Facturas,239.10,EUR,
03.02.2026 20:10,Expense,Efectivo,5.10,EUR,Transporte,5.10,EUR,
04.02.2026 09:00,Expense,Banco Santander,30.00,EUR,Internet,30.00,EUR,
04.02.2026 09:05,Expense,Banco Santander,25.00,EUR,Móvil,25.00,EUR,
05.02.2026 10:27,Income,Salario,4567.20,EUR,Banco Santander,4567.20,EUR,Salario mensual
05.02.2026 12:31,Expense,Efectivo,124.80,EUR,Supermercado,124.80,EUR,Mercadona
06.02.2026 08:00,Expense,Banco Santander,60.00,EUR,Suscripciones,60.00,EUR,Netflix + Spotify
07.02.2026 11:00,Transfer,Banco Santander,976.50,EUR,Cuenta de ahorro,976.50,EUR,Ahorro mensual
09.02.2026 11:17,Expense,Banco Santander,14.90,EUR,Cafetería,14.90,EUR,Café
09.02.2026 15:00,Transfer,Banco Santander,281.20,EUR,Efectivo,281.20,EUR,Retiro cajero
